Дія;Найвище звання;Корабельні звання;Підстава
звільнення;підполковник;ні;Положення про проходження громадянами України військової служби у ЗСУ (Указ Президента № 1153/2008), п. 225: командири корпусів і командувачі військ оперативних командувань звільняють з військової служби у військових званнях до підполковника включно. Сухопутні війська — лише військові звання.
призначення;;ні;Призначення й переміщення — без обмеження звання. Сухопутні війська — лише військові звання.
усі;;ні;Без обмеження звання. Сухопутні війська — лише військові звання.
