Ключ;Текст;Примітка
вища;Призначається на вищу посаду у порядку просування по службі;
рівнозначна;Призначається на рівнозначну посаду для більш доцільного використання за досвідом роботи;
нижча;Призначається на нижчу посаду, передбачену штатами воєнного стану, у зв'язку з введенням правового режиму воєнного стану;
рівнозначна_влк;Призначається на рівнозначну посаду за станом здоров'я - на підставі висновку військово-лікарської комісії;
нижча_влк;Призначається на нижчу посаду за станом здоров'я - на підставі висновку військово-лікарської комісії;
вища_влк;Призначається на вищу посаду у порядку просування по службі;ВЛК на вищу посаду не впливає
невідомо;Призначається;шпк однієї з посад немає в довіднику або це запасна рота
