Номер ВОС;Найменування ВОС;Розділ;Підрозділ
785;Радіопеленгаторів, привідних радіостанцій і радіомаркерів;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.8. Спеціальності з ремонту та зберігання засобів зв’язку
786;Засобів електромагнітної (pадіоелектpонної) боротьби;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.8. Спеціальності з ремонту та зберігання засобів зв’язку
787;Об’єднане матеріальне забезпечення;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.9. Спеціальності об’єднаних видів матеріального забезпечення
788;Продовольче забезпечення;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.10. Спеціальності продовольчої служби
789;Речове забезпечення;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.11. Спеціальності речової служби
790;Перевезення автомобільним транспортом;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.12. Спеціальності з експлуатації автомобільної техніки
791;Метрологічне забезпечення військ (сил);8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.13. Спеціальності метрології
792;Акумуляторних та зарядних пристроїв;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.14. Електротехнічні спеціальності
793;Холодної обробки металу;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
794;Гарячої обробки металу;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
795;Зварювальних робіт;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
796;Гумових покриттів та вулканізації;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
797;Малярних робіт;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
798;Деревообробки;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.15. Спеціальності з обробки металу, дерева та полімерних матеріалів
799;Газодобувних і зарядних станцій (установок) та газового аналізу й контролю;8. Спеціальності з експлуатації, ремонту і зберігання озброєння, боєприпасів, техніки. Спеціальності логістичного забезпечення;8.16. Спеціальності паросилових установок, газодобувних і компресорних станцій
800;Корабельних гідроакустичних комплексів і станцій;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
801;Берегових гідроакустичних комплексів і станцій;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
802;Неакустичних засобів підводного спостереження;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
803;Апаратури та обладнання автоматизованих систем управління;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
805;Оптико-електронної техніки;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
806;Квантово-електронної техніки;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
807;Енергетичного і електротехнічного обладнання засобів протиповітряної оборони та систем попередження про ракетний напад;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
808;Світлотехнічних засобів виявлення та реєстрації ядерних вибухів;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
809;Геофізичних засобів виявлення та реєстрації ядерних вибухів;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.1. Спеціальності з ремонту і зберігання засобів автоматизації, гідроакустичної, обчислювальної та оптико-електронної техніки
815;Засобів вимірювальної техніки теплотехнічних величин;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
816;Засобів вимірювальної техніки механічних величин;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
817;Засобів вимірювальної техніки гідроакустичних і звукометричних величин;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
818;Засобів вимірювальної техніки іонізуючого випромінювання;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
819;Засобів вимірювальної техніки оптичних світлотехнічних величин та параметрів лазерного випромінювання;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
821;Засобів вимірювальної техніки системи єдиного часу та еталонних частот;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.2. Спеціальності метрології
827;Інженерної, дорожньо-будівельної, мостобудівної, лісозаготівельної, інженерно-аеродромної техніки та майна;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
828;Мінно-вибухової техніки;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
829;Електротехнічних засобів;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
830;Техніки та майна радіаційного, хімічного, біологічного захисту;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
831;Засобів радіаційної, хімічної, біологічної розвідки та дозиметричного контролю;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
832;Повітрянодесантної техніки;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
833;Понтонних парків і переправно-десантних машин;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.3. Спеціальності з ремонту і зберігання бронетанкової, інженерної, інженерно-аеродромної, повітряно-десантної техніки та озброєння радіаційного, хімічного, біологічного захисту
878;Молодшого медичного персоналу;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.4. Медичні спеціальності
879;Молодших спеціалістів з медичною освітою;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.4. Медичні спеціальності
880;Медичного обладнання;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.4. Медичні спеціальності
881;Фізичної та реабілітаційної медицини;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.4. Медичні спеціальності
884;Молодших ветеринарних спеціалістів;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.5. Ветеринарні спеціальності та спеціальності з використання службових тварин
885;Молодших спеціалістів ветеринарної медицини;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.5. Ветеринарні спеціальності та спеціальності з використання службових тварин
886;Службового собаківництва;9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.5. Ветеринарні спеціальності та спеціальності з використання службових тварин
887;Службових тварин (перевезення вантажів);9. Спеціальності з експлуатації, ремонту і зберігання техніки;9.5. Ветеринарні спеціальності та спеціальності з використання службових тварин
900;Бухгалтерського обліку;10. Різні спеціальності;10.1. Штабні спеціальності
901;Діловодства;10. Різні спеціальності;10.1. Штабні спеціальності
902;Креслярських і графічних робіт;10. Різні спеціальності;10.1. Штабні спеціальності
903;Спеціального зв’язку (СПЗ);10. Різні спеціальності;10.1. Штабні спеціальності
904;Обробка інформації оборонного планування;10. Різні спеціальності;10.1. Штабні спеціальності
905;Ремонту техніки спеціального зв’язку;10. Різні спеціальності;10.1. Штабні спеціальності
906;Фізичної підготовки та спорту;10. Різні спеціальності;10.1. Штабні спеціальності
907;Дорожньо-комендантської служби;10. Різні спеціальності;10.1. Штабні спеціальності
908;Комендатур і контрольно-пропускних пунктів;10. Різні спеціальності;10.1. Штабні спеціальності
909;Електронної апаратури кодування та спеціального зв’язку;10. Різні спеціальності;10.1. Штабні спеціальності
910;Навчальних об’єктів полігонів;10. Різні спеціальності;10.1. Штабні спеціальності
911;Фінансів;10. Різні спеціальності;10.1. Штабні спеціальності
912;Клубів і бібліотек;10. Різні спеціальності;10.2. Спеціальності по роботі з особовим складом
913;Кінорадіотехнічні;10. Різні спеціальності;10.2. Спеціальності по роботі з особовим складом
914;Військової преси;10. Різні спеціальності;10.2. Спеціальності по роботі з особовим складом
915;Морально-психологічного забезпечення;10. Різні спеціальності;10.2. Спеціальності по роботі з особовим складом
916;Військової капеланської діяльності;10. Різні спеціальності;10.2. Спеціальності по роботі з особовим складом
917;Військових оркестрів, військових музичних центрів;10. Різні спеціальності;10.3. Спеціальності музичного мистецтва
918;Ансамблів і театрів;10. Різні спеціальності;10.3. Спеціальності музичного мистецтва
922;Друкарських робіт;10. Різні спеціальності;10.4. Спеціальності поліграфії
923;Друку топографічних карт;10. Різні спеціальності;10.4. Спеціальності поліграфії
924;Поліграфічних машин;10. Різні спеціальності;10.4. Спеціальності поліграфії
925;Оперативної техніки;10. Різні спеціальності;10.4. Спеціальності поліграфії
929;По роботі з військовослужбовцями, які проходять військову службу за контрактом;10. Різні спеціальності;10.5. Спеціальності по роботі з персоналом
932;Правоохоронна діяльність;10. Різні спеціальності;10.6. Спеціальності служби правопорядку
937;Колійних робіт;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
938;Колійних машин;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
939;Теслярсько-мостових і монтажно-мостових робіт;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
940;Складання та монтажу мостів із металоконструкцій;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
941;Палезабивних і копрових агрегатів;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
942;Залізничних, збірно-розбірних, консольних і плавучих кранів;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
943;Бурових, прохідницьких і породонавантажувальних машин;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
944;Залізничного водопостачання;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
945;Будівництва та ремонту автомобільних шляхів і аеродромів;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
946;Технічної розвідки залізниць;10. Різні спеціальності;10.7. Спеціальності з будівництва та відбудови аеродромів, залізниць і автошляхів
948;Служби руху;10. Різні спеціальності;10.8. Спеціальності з експлуатації залізниць
949;Локомотивної служби;10. Різні спеціальності;10.8. Спеціальності з експлуатації залізниць
953;Моторейкового транспорту;10. Різні спеціальності;10.8. Спеціальності з експлуатації залізниць
956;Будівельних робіт;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
957;Квартирно-експлуатаційної служби;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
958;Теплогазопостачання, вентиляції та кондиціювання;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
959;Холодильного обладнання та установок;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
960;Водопостачання та каналізації;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
961;Перекачувальних установок;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
962;Шахтових підйомників і ліфтів;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
963;Герметичнозахисних пристроїв спеціальних споруд;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
964;Ізоляційно-гудронаторних робіт;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
965;Фортифікаційних споруд;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
966;Служби пожежної безпеки;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
967;Пожежної охорони;10. Різні спеціальності;10.9. Спеціальності з будівництва, ремонту та експлуатації споруд і будов
972;Металопокриттів (крім покриттів лакофарбовими матеріалами та малярних робіт);10. Різні спеціальності;10.10. Спеціальності з обробки металу, дерева та полімерних матеріалів
974;Налагодження та ремонту станкового обладнання;10. Різні спеціальності;10.10. Спеціальності з обробки металу, дерева та полімерних матеріалів
975;Ливарних робіт;10. Різні спеціальності;10.10. Спеціальності з обробки металу, дерева та полімерних матеріалів
977;Обробки полімерних матеріалів;10. Різні спеціальності;10.10. Спеціальності з обробки металу, дерева та полімерних матеріалів
980;Паросилових і котельних установок;10. Різні спеціальності;10.11. Спеціальності паросилових установок, газодобувних і компресорних станцій
982;Компресорних станцій (установок);10. Різні спеціальності;10.11. Спеціальності паросилових установок, газодобувних і компресорних станцій
983;Газового аналізу та контролю;10. Різні спеціальності;10.11. Спеціальності паросилових установок, газодобувних і компресорних станцій
992;Спеціалісти секретного документального забезпечення;10. Різні спеціальності;10.12. Спеціальності охорони державної таємниці та захисту інформації
993;Спеціалісти протидії технічним розвідкам;10. Різні спеціальності;10.12. Спеціальності охорони державної таємниці та захисту інформації
994;Спеціалісти надання електронних довірчих послуг;10. Різні спеціальності;10.12. Спеціальності охорони державної таємниці та захисту інформації
997;{Рядок 997 пункту 10.12 виключено на підставі Наказу Міністерства оборони № 380 від 10.06.2025};10. Різні спеціальності;10.12. Спеціальності охорони державної таємниці та захисту інформації
997;Підготовка, ведення та підтримання руху опору;10. Різні спеціальності;10.13. Спеціальності національного спротиву
999;Потребує проходження базової загальновійськової підготовки;10. Різні спеціальності;10.14. Без військової підготовки
